"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","wheel","wheel.acc","pedmeter","allmeter","body.temp","hour","day","exp.hour","exp.day"
"1","6-LR",52,105,2016-09-08 17:02:50,-1.612,0,0,-0.004,0,0,NA,NA,25,1,NA,NA,NA,NA,0,2016-09-08 17:00:00,2016-09-08,25,1
"2","6-LR",52,105,2016-09-08 17:16:50,-0.312,0,0,0.017,0,0,NA,NA,31,0,NA,NA,NA,NA,0,2016-09-08 17:00:00,2016-09-08,25,1
"3","6-LR",52,105,2016-09-08 17:30:50,0.104,0,0,-0.079,0,0,NA,NA,27,0,NA,NA,NA,NA,0,2016-09-08 17:00:00,2016-09-08,25,1
"4","6-LR",52,105,2016-09-08 17:44:50,0.52,0.78,0,1.545,0,0,NA,NA,25,0,NA,NA,NA,NA,0,2016-09-08 17:00:00,2016-09-08,25,1
"5","6-LR",52,105,2016-09-08 17:58:50,0,0.312,0,12.834,0,0,NA,NA,26,0,NA,NA,NA,NA,0,2016-09-08 17:00:00,2016-09-08,25,1
"6","6-LR",52,105,2016-09-08 18:12:50,0.78,0.468,0,0.57,0,0,NA,NA,14,0,NA,NA,NA,NA,0,2016-09-08 18:00:00,2016-09-08,26,1
"7","6-LR",52,105,2016-09-08 18:26:50,0,0,0,-0.705,0,0,NA,NA,30,0,NA,NA,NA,NA,0,2016-09-08 18:00:00,2016-09-08,26,1
"8","6-LR",52,105,2016-09-08 18:40:50,0.416,-0.052,0,-0.13,0,0,NA,NA,15,0,NA,NA,NA,NA,0,2016-09-08 18:00:00,2016-09-08,26,1
"9","6-LR",52,105,2016-09-08 18:54:50,-0.156,-0.156,0,0.857,0,0,NA,NA,13,0,NA,NA,NA,NA,0,2016-09-08 18:00:00,2016-09-08,26,1
"10","6-LR",52,105,2016-09-08 19:08:50,0.052,-0.104,0,-3.818,0,0,NA,NA,17,0,NA,NA,NA,NA,0,2016-09-08 19:00:00,2016-09-08,27,1
"11","6-LR",52,105,2016-09-08 19:22:50,0,0,0,-3.807,0,0,NA,NA,26,0,NA,NA,NA,NA,0,2016-09-08 19:00:00,2016-09-08,27,1
"12","6-LR",52,105,2016-09-08 19:36:50,0,0,0,-3.944,0,0,NA,NA,14,0,NA,NA,NA,NA,0,2016-09-08 19:00:00,2016-09-08,27,1
"13","6-LR",52,105,2016-09-08 19:50:50,0,0.156,0,6.47,0,0,NA,NA,15,0,NA,NA,NA,NA,0,2016-09-08 19:00:00,2016-09-08,27,1
"14","6-LR",52,105,2016-09-08 20:04:50,-0.052,0.104,0,-3.78,0,0,NA,NA,21,0,NA,NA,NA,NA,0,2016-09-08 20:00:00,2016-09-08,28,1
"15","6-LR",52,105,2016-09-08 20:18:50,1.924,0.104,0,0.045,0,0,NA,NA,16,0,NA,NA,NA,NA,0,2016-09-08 20:00:00,2016-09-08,28,1
"16","6-LR",52,105,2016-09-08 20:32:50,29.016,25.324,0.1,0.873,0.02,0.02,NA,NA,845,489,NA,NA,NA,NA,0,2016-09-08 20:00:00,2016-09-08,28,1
"17","6-LR",52,105,2016-09-08 20:46:50,136.604,98.696,0.6,0.722,0.17,0.19,NA,NA,4729,2706,NA,NA,NA,NA,0,2016-09-08 20:00:00,2016-09-08,28,1
"18","6-LR",52,105,2016-09-08 21:00:50,123.604,92.352,0.6,0.747,0.02,0.21,NA,NA,3952,2176,NA,NA,NA,NA,0,2016-09-08 21:00:00,2016-09-08,29,1
"19","6-LR",52,105,2016-09-08 21:14:50,113.672,88.764,0.5,0.781,0.01,0.22,NA,NA,2839,979,NA,NA,NA,NA,0,2016-09-08 21:00:00,2016-09-08,29,1
"20","6-LR",52,105,2016-09-08 21:28:50,110.864,83.98,0.5,0.757,0,0.22,NA,NA,2534,1170,NA,NA,NA,NA,0,2016-09-08 21:00:00,2016-09-08,29,1
"21","6-LR",52,105,2016-09-08 21:42:50,105.664,80.184,0.5,0.759,0.01,0.23,NA,NA,1913,421,NA,NA,NA,NA,0,2016-09-08 21:00:00,2016-09-08,29,1
"22","6-LR",52,105,2016-09-08 21:56:50,113.776,86.268,0.5,0.758,0.01,0.24,NA,NA,2676,1200,NA,NA,NA,NA,0,2016-09-08 21:00:00,2016-09-08,29,1
"23","6-LR",52,105,2016-09-08 22:10:50,110.448,81.224,0.5,0.736,0.01,0.25,NA,NA,3239,1479,NA,NA,NA,NA,0,2016-09-08 22:00:00,2016-09-08,30,1
"24","6-LR",52,105,2016-09-08 22:24:50,109.772,81.016,0.5,0.738,0.01,0.26,NA,NA,2217,752,NA,NA,NA,NA,0,2016-09-08 22:00:00,2016-09-08,30,1
"25","6-LR",52,105,2016-09-08 22:38:50,109.252,81.328,0.5,0.744,0,0.26,NA,NA,1978,415,NA,NA,NA,NA,0,2016-09-08 22:00:00,2016-09-08,30,1
"26","6-LR",52,105,2016-09-08 22:52:50,88.192,63.492,0.4,0.72,0,0.26,NA,NA,1110,231,NA,NA,NA,NA,0,2016-09-08 22:00:00,2016-09-08,30,1
"27","6-LR",52,105,2016-09-08 23:06:50,110.604,83.408,0.5,0.754,0.01,0.27,NA,NA,2053,901,NA,NA,NA,NA,0,2016-09-08 23:00:00,2016-09-08,31,1
"28","6-LR",52,105,2016-09-08 23:20:50,105.092,75.92,0.5,0.722,0,0.27,NA,NA,2569,1099,NA,NA,NA,NA,0,2016-09-08 23:00:00,2016-09-08,31,1
"29","6-LR",52,105,2016-09-08 23:34:50,88.868,63.076,0.4,0.709,0.01,0.28,NA,NA,2678,1220,NA,NA,NA,NA,0,2016-09-08 23:00:00,2016-09-08,31,1
"30","6-LR",52,105,2016-09-08 23:48:50,82.264,59.904,0.4,0.728,0.01,0.29,NA,NA,1428,341,NA,NA,NA,NA,0,2016-09-08 23:00:00,2016-09-08,31,1
"31","6-LR",52,105,2016-09-09 00:02:50,81.068,58.292,0.4,0.719,0,0.29,NA,NA,1733,42,NA,NA,NA,NA,0,2016-09-09 00:00:00,2016-09-09,32,2
"32","6-LR",52,105,2016-09-09 00:16:50,82.784,61.568,0.4,0.744,0,0.29,NA,NA,273,41,NA,NA,NA,NA,0,2016-09-09 00:00:00,2016-09-09,32,2
"33","6-LR",52,105,2016-09-09 00:30:50,83.408,61.204,0.4,0.734,0.01,0.3,NA,NA,279,20,NA,NA,NA,NA,0,2016-09-09 00:00:00,2016-09-09,32,2
"34","6-LR",52,105,2016-09-09 00:44:50,82.628,60.736,0.4,0.735,0,0.3,NA,NA,2817,11,NA,NA,NA,NA,0,2016-09-09 00:00:00,2016-09-09,32,2
"35","6-LR",52,105,2016-09-09 00:58:50,110.708,84.24,0.5,0.761,0,0.3,NA,NA,1808,606,NA,NA,NA,NA,0,2016-09-09 00:00:00,2016-09-09,32,2
"36","6-LR",52,105,2016-09-09 01:12:50,106.392,79.04,0.5,0.743,0.01,0.31,NA,NA,1736,585,NA,NA,NA,NA,0,2016-09-09 01:00:00,2016-09-09,33,2
"37","6-LR",52,105,2016-09-09 01:26:50,79.352,58.448,0.4,0.736,0,0.31,NA,NA,381,11,NA,NA,NA,NA,0,2016-09-09 01:00:00,2016-09-09,33,2
"38","6-LR",52,105,2016-09-09 01:40:50,83.512,64.272,0.4,0.77,0,0.31,NA,NA,568,84,NA,NA,NA,NA,0,2016-09-09 01:00:00,2016-09-09,33,2
"39","6-LR",52,105,2016-09-09 01:54:50,121.524,90.896,0.6,0.748,0.09,0.4,NA,NA,3352,1554,NA,NA,NA,NA,0,2016-09-09 01:00:00,2016-09-09,33,2
"40","6-LR",52,105,2016-09-09 02:08:50,119.236,88.868,0.6,0.745,-0.01,0.39,NA,NA,2847,1124,NA,NA,NA,NA,0,2016-09-09 02:00:00,2016-09-09,34,2
"41","6-LR",52,105,2016-09-09 02:22:50,112.372,82.888,0.5,0.738,0,0.39,NA,NA,1582,490,NA,NA,NA,NA,0,2016-09-09 02:00:00,2016-09-09,34,2
"42","6-LR",52,105,2016-09-09 02:36:50,121.316,88.764,0.6,0.732,-0.05,0.34,NA,NA,3079,1663,NA,NA,NA,NA,0,2016-09-09 02:00:00,2016-09-09,34,2
"43","6-LR",52,105,2016-09-09 02:50:50,106.704,80.392,0.5,0.753,0.06,0.4,NA,NA,1432,299,NA,NA,NA,NA,0,2016-09-09 02:00:00,2016-09-09,34,2
"44","6-LR",52,105,2016-09-09 03:04:50,113.308,83.408,0.5,0.736,0,0.4,NA,NA,1908,689,NA,NA,NA,NA,0,2016-09-09 03:00:00,2016-09-09,35,2
"45","6-LR",52,105,2016-09-09 03:18:50,106.496,78.156,0.5,0.734,0,0.4,NA,NA,2321,840,NA,NA,NA,NA,0,2016-09-09 03:00:00,2016-09-09,35,2
"46","6-LR",52,105,2016-09-09 03:32:50,109.46,82.16,0.5,0.75,0.06,0.46,NA,NA,1639,578,NA,NA,NA,NA,0,2016-09-09 03:00:00,2016-09-09,35,2
"47","6-LR",52,105,2016-09-09 03:46:50,114.452,85.956,0.5,0.751,0,0.46,NA,NA,3507,1887,NA,NA,NA,NA,0,2016-09-09 03:00:00,2016-09-09,35,2
"48","6-LR",52,105,2016-09-09 04:00:50,95.784,67.756,0.4,0.707,0,0.46,NA,NA,1452,497,NA,NA,NA,NA,0,2016-09-09 04:00:00,2016-09-09,36,2
"49","6-LR",52,105,2016-09-09 04:14:50,88.764,66.144,0.4,0.745,0,0.46,NA,NA,1792,82,NA,NA,NA,NA,0,2016-09-09 04:00:00,2016-09-09,36,2
"50","6-LR",52,105,2016-09-09 04:28:50,86.268,63.648,0.4,0.738,0.01,0.47,NA,NA,167,12,NA,NA,NA,NA,0,2016-09-09 04:00:00,2016-09-09,36,2
"51","6-LR",52,105,2016-09-09 04:42:50,78.208,57.668,0.4,0.738,0,0.47,NA,NA,234,24,NA,NA,NA,NA,0,2016-09-09 04:00:00,2016-09-09,36,2
"52","6-LR",52,105,2016-09-09 04:56:50,82.784,61.516,0.4,0.743,0,0.47,NA,NA,86,18,NA,NA,NA,NA,0,2016-09-09 04:00:00,2016-09-09,36,2
"53","6-LR",52,105,2016-09-09 05:10:50,94.432,71.24,0.4,0.754,0,0.47,NA,NA,950,46,NA,NA,NA,NA,0,2016-09-09 05:00:00,2016-09-09,37,2
"54","6-LR",52,105,2016-09-09 05:24:50,116.064,87.516,0.6,0.754,0.05,0.52,NA,NA,1530,468,NA,NA,NA,NA,0,2016-09-09 05:00:00,2016-09-09,37,2
"55","6-LR",52,105,2016-09-09 05:38:50,112.944,84.812,0.5,0.751,0.01,0.53,NA,NA,2388,975,NA,NA,NA,NA,0,2016-09-09 05:00:00,2016-09-09,37,2
"56","6-LR",52,105,2016-09-09 05:52:50,103.636,78.416,0.5,0.756,0,0.53,NA,NA,1462,154,NA,NA,NA,NA,0,2016-09-09 05:00:00,2016-09-09,37,2
"57","6-LR",52,105,2016-09-09 06:06:50,125.32,93.86,0.6,0.749,0,0.53,NA,NA,2706,1505,NA,NA,NA,NA,0,2016-09-09 06:00:00,2016-09-09,38,2
"58","6-LR",52,105,2016-09-09 06:20:50,113.464,84.344,0.5,0.743,0,0.53,NA,NA,2540,1088,NA,NA,NA,NA,0,2016-09-09 06:00:00,2016-09-09,38,2
"59","6-LR",52,105,2016-09-09 06:34:50,102.076,76.18,0.5,0.746,0,0.53,NA,NA,1410,298,NA,NA,NA,NA,0,2016-09-09 06:00:00,2016-09-09,38,2
"60","6-LR",52,105,2016-09-09 06:48:50,90.636,66.716,0.4,0.736,0.01,0.54,NA,NA,1313,188,NA,NA,NA,NA,0,2016-09-09 06:00:00,2016-09-09,38,2
"61","6-LR",52,105,2016-09-09 07:02:50,108.732,79.716,0.5,0.733,0.02,0.56,NA,NA,2626,1161,NA,NA,NA,NA,0,2016-09-09 07:00:00,2016-09-09,39,2
"62","6-LR",52,105,2016-09-09 07:16:50,99.372,73.84,0.5,0.743,0,0.56,NA,NA,2077,188,NA,NA,NA,NA,0,2016-09-09 07:00:00,2016-09-09,39,2
"63","6-LR",52,105,2016-09-09 07:30:50,77.844,55.12,0.4,0.708,0,0.56,NA,NA,725,49,NA,NA,NA,NA,0,2016-09-09 07:00:00,2016-09-09,39,2
"64","6-LR",52,105,2016-09-09 07:44:50,86.528,63.336,0.4,0.732,0,0.56,NA,NA,561,34,NA,NA,NA,NA,0,2016-09-09 07:00:00,2016-09-09,39,2
"65","6-LR",52,105,2016-09-09 07:58:50,79.04,57.096,0.4,0.723,0,0.56,NA,NA,224,12,NA,NA,NA,NA,0,2016-09-09 07:00:00,2016-09-09,39,2
"66","6-LR",52,105,2016-09-09 08:12:50,82.628,61.308,0.4,0.742,0,0.56,NA,NA,990,24,NA,NA,NA,NA,0,2016-09-09 08:00:00,2016-09-09,40,2
"67","6-LR",52,105,2016-09-09 08:26:50,80.288,59.384,0.4,0.739,0.01,0.57,NA,NA,823,30,NA,NA,NA,NA,0,2016-09-09 08:00:00,2016-09-09,40,2
"68","6-LR",52,105,2016-09-09 08:40:50,82.732,62.036,0.4,0.75,0,0.57,NA,NA,718,168,NA,NA,NA,NA,0,2016-09-09 08:00:00,2016-09-09,40,2
"69","6-LR",52,105,2016-09-09 08:54:50,75.14,55.276,0.4,0.736,0,0.57,NA,NA,2035,165,NA,NA,NA,NA,0,2016-09-09 08:00:00,2016-09-09,40,2
"70","6-LR",52,105,2016-09-09 09:08:50,73.476,56.212,0.3,0.765,0,0.57,NA,NA,1492,173,NA,NA,NA,NA,0,2016-09-09 09:00:00,2016-09-09,41,2
"71","6-LR",52,105,2016-09-09 09:22:50,97.864,74.984,0.5,0.766,0,0.57,NA,NA,943,78,NA,NA,NA,NA,0,2016-09-09 09:00:00,2016-09-09,41,2
"72","6-LR",52,105,2016-09-09 09:36:50,73.476,53.768,0.3,0.732,0.01,0.58,NA,NA,555,145,NA,NA,NA,NA,0,2016-09-09 09:00:00,2016-09-09,41,2
"73","6-LR",52,105,2016-09-09 09:50:50,70.46,52,0.3,0.738,-0.01,0.57,NA,NA,399,22,NA,NA,NA,NA,0,2016-09-09 09:00:00,2016-09-09,41,2
"74","6-LR",52,105,2016-09-09 10:04:50,80.288,59.904,0.4,0.746,0.01,0.58,NA,NA,268,19,NA,NA,NA,NA,0,2016-09-09 10:00:00,2016-09-09,42,2
"75","6-LR",52,105,2016-09-09 10:18:50,68.12,49.868,0.3,0.732,0,0.58,NA,NA,114,30,NA,NA,NA,NA,0,2016-09-09 10:00:00,2016-09-09,42,2
"76","6-LR",52,105,2016-09-09 10:32:50,104.676,79.352,0.5,0.758,0.01,0.59,NA,NA,1155,193,NA,NA,NA,NA,0,2016-09-09 10:00:00,2016-09-09,42,2
"77","6-LR",52,105,2016-09-09 10:46:50,108.108,82.732,0.5,0.765,0,0.59,NA,NA,1886,576,NA,NA,NA,NA,0,2016-09-09 10:00:00,2016-09-09,42,2
"78","6-LR",52,105,2016-09-09 11:00:50,101.14,75.244,0.5,0.744,0.01,0.6,NA,NA,2370,575,NA,NA,NA,NA,0,2016-09-09 11:00:00,2016-09-09,43,2
"79","6-LR",52,105,2016-09-09 11:14:50,108.836,83.148,0.5,0.764,0,0.6,NA,NA,1280,358,NA,NA,NA,NA,0,2016-09-09 11:00:00,2016-09-09,43,2
"80","6-LR",52,105,2016-09-09 11:28:50,96.616,71.864,0.5,0.744,0,0.6,NA,NA,2079,660,NA,NA,NA,NA,0,2016-09-09 11:00:00,2016-09-09,43,2
"81","6-LR",52,105,2016-09-09 11:42:50,72.228,52.78,0.3,0.731,0,0.6,NA,NA,840,17,NA,NA,NA,NA,0,2016-09-09 11:00:00,2016-09-09,43,2
"82","6-LR",52,105,2016-09-09 11:56:50,71.812,52.78,0.3,0.735,0,0.6,NA,NA,248,6,NA,NA,NA,NA,0,2016-09-09 11:00:00,2016-09-09,43,2
"83","6-LR",52,105,2016-09-09 12:10:50,75.244,56.576,0.4,0.752,0,0.6,NA,NA,1505,56,NA,NA,NA,NA,0,2016-09-09 12:00:00,2016-09-09,44,2
"84","6-LR",52,105,2016-09-09 12:24:50,67.392,48.464,0.3,0.719,0.01,0.61,NA,NA,1388,45,NA,NA,NA,NA,0,2016-09-09 12:00:00,2016-09-09,44,2
"85","6-LR",52,105,2016-09-09 12:38:50,77.012,58.916,0.4,0.765,0,0.61,NA,NA,387,22,NA,NA,NA,NA,0,2016-09-09 12:00:00,2016-09-09,44,2
"86","6-LR",52,105,2016-09-09 12:52:50,66.664,49.972,0.3,0.749,0,0.61,NA,NA,4387,492,NA,NA,NA,NA,0,2016-09-09 12:00:00,2016-09-09,44,2
"87","6-LR",52,105,2016-09-09 13:06:50,72.228,54.288,0.3,0.752,0,0.61,NA,NA,1589,24,NA,NA,NA,NA,0,2016-09-09 13:00:00,2016-09-09,45,2
"88","6-LR",52,105,2016-09-09 13:20:50,72.592,55.536,0.3,0.765,0,0.61,NA,NA,2198,13,NA,NA,NA,NA,0,2016-09-09 13:00:00,2016-09-09,45,2
"89","6-LR",52,105,2016-09-09 13:34:50,68.276,53.248,0.3,0.78,0.01,0.62,NA,NA,296,3,NA,NA,NA,NA,0,2016-09-09 13:00:00,2016-09-09,45,2
"90","6-LR",52,105,2016-09-09 13:48:50,64.844,48.776,0.3,0.753,0,0.62,NA,NA,183,1,NA,NA,NA,NA,0,2016-09-09 13:00:00,2016-09-09,45,2
"91","6-LR",52,105,2016-09-09 14:02:50,99.112,75.608,0.5,0.763,0,0.62,NA,NA,1278,237,NA,NA,NA,NA,0,2016-09-09 14:00:00,2016-09-09,46,2
"92","6-LR",52,105,2016-09-09 14:16:50,98.02,75.452,0.5,0.769,0,0.62,NA,NA,1259,300,NA,NA,NA,NA,0,2016-09-09 14:00:00,2016-09-09,46,2
"93","6-LR",52,105,2016-09-09 14:30:50,103.064,77.532,0.5,0.752,0.01,0.63,NA,NA,2040,578,NA,NA,NA,NA,0,2016-09-09 14:00:00,2016-09-09,46,2
"94","6-LR",52,105,2016-09-09 14:44:50,98.644,75.192,0.5,0.762,0,0.63,NA,NA,1252,235,NA,NA,NA,NA,0,2016-09-09 14:00:00,2016-09-09,46,2
"95","6-LR",52,105,2016-09-09 14:58:50,76.18,55.952,0.4,0.734,0,0.63,NA,NA,141,4,NA,NA,NA,NA,0,2016-09-09 14:00:00,2016-09-09,46,2
"96","6-LR",52,105,2016-09-09 15:12:50,82.212,60.216,0.4,0.732,0,0.63,NA,NA,738,10,NA,NA,NA,NA,0,2016-09-09 15:00:00,2016-09-09,47,2
"97","6-LR",52,105,2016-09-09 15:26:50,79.404,58.604,0.4,0.738,0,0.63,NA,NA,203,1,NA,NA,NA,NA,0,2016-09-09 15:00:00,2016-09-09,47,2
"98","6-LR",52,105,2016-09-09 15:40:50,70.2,52.78,0.3,0.751,0.01,0.64,NA,NA,1448,53,NA,NA,NA,NA,0,2016-09-09 15:00:00,2016-09-09,47,2
"99","6-LR",52,105,2016-09-09 15:54:50,71.292,54.912,0.3,0.77,0,0.64,NA,NA,422,7,NA,NA,NA,NA,0,2016-09-09 15:00:00,2016-09-09,47,2
"100","6-LR",52,105,2016-09-09 16:08:50,74.412,56.108,0.4,0.754,0,0.64,NA,NA,452,23,NA,NA,NA,NA,0,2016-09-09 16:00:00,2016-09-09,48,2
"101","6-LR",52,105,2016-09-09 16:22:50,105.872,79.768,0.5,0.753,0.04,0.68,NA,NA,1654,444,NA,NA,NA,NA,0,2016-09-09 16:00:00,2016-09-09,48,2
"102","6-LR",52,105,2016-09-09 16:36:50,106.184,82.056,0.5,0.773,0,0.68,NA,NA,1008,115,NA,NA,NA,NA,0,2016-09-09 16:00:00,2016-09-09,48,2
"103","6-LR",52,105,2016-09-09 16:50:50,73.684,54.912,0.3,0.745,0,0.68,NA,NA,780,151,NA,NA,NA,NA,0,2016-09-09 16:00:00,2016-09-09,48,2
"104","6-LR",52,105,2016-09-09 17:04:50,76.856,56.732,0.4,0.738,0,0.68,NA,NA,106,8,NA,NA,NA,NA,0,2016-09-09 17:00:00,2016-09-09,49,2
"105","6-LR",52,105,2016-09-09 17:18:50,72.436,54.496,0.3,0.752,0.01,0.69,NA,NA,897,21,NA,NA,NA,NA,0,2016-09-09 17:00:00,2016-09-09,49,2
"106","6-LR",52,105,2016-09-09 17:32:50,70.148,53.196,0.3,0.758,0,0.69,NA,NA,1340,4,NA,NA,NA,NA,0,2016-09-09 17:00:00,2016-09-09,49,2
"107","6-LR",52,105,2016-09-09 17:46:50,91.78,71.656,0.4,0.781,0.05,0.74,NA,NA,556,80,NA,NA,NA,NA,0,2016-09-09 17:00:00,2016-09-09,49,2
