,group1,group2,group_names,colors,xrange,outliers,errorbars,mri,light,exc,Total.Mass,Lean.Mass,Fat.Mass,id
1,1-L,4-L,WT,#0C0C96,33,Yes,Yes,Yes,7,185,49.1,22.54,24.1,1-N
2,1-LR,4-LR,KO,#D4940B,152,NA,NA,NA,19,185,46.3,21.57,22.41,2-N
3,1-N,5-LR,NA,NA,NA,NA,NA,NA,NA,185,42.3,19.26,20.91,1-L
4,1-R,5-N,NA,NA,NA,NA,NA,NA,NA,185,50.0,23.17,24.32,2-L
5,2-L,5-R,NA,NA,NA,NA,NA,NA,NA,185,38.4,17.35,19.12,1-R
6,2-LR,6-LR,NA,NA,NA,NA,NA,NA,NA,185,52.7,24.18,25.87,2-R
7,2-N,6-N,NA,NA,NA,NA,NA,NA,NA,185,43.5,20.15,21.16,1-LR
8,2-R,6-R,NA,NA,NA,NA,NA,NA,NA,185,40.9,19.32,19.53,2-LR
9,3-L,3-LR,NA,NA,NA,NA,NA,NA,NA,185,49.4,22.7,24.22,3-N
10,3-N,3-R,NA,NA,NA,NA,NA,NA,NA,185,41.0,19.32,19.62,4-L
11,4-R,NA,NA,NA,NA,NA,NA,NA,NA,185,44.2,19.92,22.06,3-L
12,5-L,NA,NA,NA,NA,NA,NA,NA,NA,185,45.1,21.17,21.67,4-R
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,45.7,21.4,22.01,3-R
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,50.0,23.46,24.03,4-LR
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,46.2,21.73,22.15,3-LR
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,53.4,24.51,26.21,6-N
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,46.8,22.05,22.4,5-N
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,46.4,21.2,22.87,5-L
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,40.2,18.4,19.78,6-R
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,42.9,20.21,20.54,5-R
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,52.0,24.12,25.27,6-LR
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,45.5,21.46,21.75,5-LR
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
